nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=5000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/3317pa9k
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211214_134615-3317pa9k
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1565.777 | Updates  137 | Remaining time  6.75 hours
Episode  177 | Return  -131.015 | Updates  200 | Remaining time  5.10 hours
Episode  178 | Return  -237.299 | Updates  200 | Remaining time  5.10 hours
Episode  179 | Return  -249.577 | Updates  200 | Remaining time  5.09 hours
Episode  180 | Return  -130.854 | Updates  200 | Remaining time  5.09 hours
Episode  181 | Return  -123.770 | Updates  200 | Remaining time  5.09 hours
Episode  182 | Return  -124.627 | Updates  200 | Remaining time  5.08 hours
Episode  183 | Return  -233.278 | Updates  200 | Remaining time  5.08 hours
Episode  184 | Return  -123.440 | Updates  200 | Remaining time  5.08 hours
Episode  185 | Return  -315.110 | Updates  200 | Remaining time  5.08 hours
Episode  186 | Return  -126.628 | Updates  200 | Remaining time  5.07 hours
Episode  187 | Return  -121.533 | Updates  200 | Remaining time  5.07 hours
Episode  188 | Return   -11.691 | Updates  200 | Remaining time  5.06 hours
Episode  189 | Return  -248.138 | Updates  200 | Remaining time  5.06 hours
Episode  190 | Return  -120.494 | Updates  200 | Remaining time  5.06 hours
Episode  191 | Return  -129.662 | Updates  200 | Remaining time  5.06 hours
Episode  192 | Return  -128.517 | Updates  200 | Remaining time  5.06 hours
Episode  193 | Return  -133.468 | Updates  200 | Remaining time  5.05 hours
Episode  194 | Return   -11.503 | Updates  200 | Remaining time  5.05 hours
Episode  195 | Return  -246.086 | Updates  200 | Remaining time  5.05 hours
Episode  196 | Return  -252.103 | Updates  200 | Remaining time  5.05 hours
Episode  197 | Return  -132.843 | Updates  200 | Remaining time  5.04 hours
Episode  198 | Return  -125.687 | Updates  200 | Remaining time  5.04 hours
Episode  199 | Return  -124.763 | Updates  200 | Remaining time  5.04 hours
Episode  200 | Return  -310.910 | Updates  200 | Remaining time  5.04 hours
Episode  201 | Return  -238.229 | Updates  200 | Remaining time  5.03 hours
Episode  202 | Return  -244.647 | Updates  200 | Remaining time  5.03 hours
Episode  203 | Return  -120.234 | Updates  200 | Remaining time  5.03 hours
Episode  204 | Return   -10.054 | Updates  200 | Remaining time  5.02 hours
Episode  205 | Return  -129.331 | Updates  200 | Remaining time  5.02 hours
Episode  206 | Return  -235.054 | Updates  200 | Remaining time  5.02 hours
Episode  207 | Return  -228.200 | Updates  200 | Remaining time  5.01 hours
Episode  208 | Return    -3.134 | Updates  200 | Remaining time  5.01 hours
Episode  209 | Return  -120.927 | Updates  200 | Remaining time  5.01 hours
Episode  210 | Return  -125.791 | Updates  200 | Remaining time  5.01 hours
Episode  211 | Return  -362.692 | Updates  200 | Remaining time  5.01 hours
Episode  212 | Return  -117.894 | Updates  200 | Remaining time  5.00 hours
Episode  213 | Return  -229.453 | Updates  200 | Remaining time  5.00 hours
Episode  214 | Return  -128.620 | Updates  200 | Remaining time  5.00 hours
Episode  215 | Return  -254.857 | Updates  200 | Remaining time  5.00 hours
Episode  216 | Return    -5.830 | Updates  200 | Remaining time  5.00 hours
Episode  217 | Return  -129.718 | Updates  200 | Remaining time  5.00 hours
Episode  218 | Return  -236.605 | Updates  200 | Remaining time  5.00 hours
Episode  219 | Return  -123.856 | Updates  200 | Remaining time  5.00 hours
Episode  220 | Return  -122.424 | Updates  200 | Remaining time  5.00 hours
Episode  221 | Return  -330.891 | Updates  200 | Remaining time  5.00 hours
Episode  222 | Return  -232.685 | Updates  200 | Remaining time  5.01 hours
Episode  223 | Return  -245.978 | Updates  200 | Remaining time  5.02 hours
Episode  224 | Return  -123.779 | Updates  200 | Remaining time  5.03 hours
Episode  225 | Return  -120.300 | Updates  200 | Remaining time  5.03 hours
Episode  226 | Return  -231.429 | Updates  200 | Remaining time  5.03 hours
Episode  227 | Return  -124.999 | Updates  200 | Remaining time  5.03 hours
Episode  228 | Return  -117.960 | Updates  200 | Remaining time  5.03 hours
Episode  229 | Return  -123.701 | Updates  200 | Remaining time  5.03 hours
Episode  230 | Return  -242.306 | Updates  200 | Remaining time  5.03 hours
Episode  231 | Return  -124.682 | Updates  200 | Remaining time  5.03 hours
Episode  232 | Return  -223.670 | Updates  200 | Remaining time  5.03 hours
Episode  233 | Return  -243.604 | Updates  200 | Remaining time  5.03 hours
Episode  234 | Return  -279.173 | Updates  200 | Remaining time  5.03 hours
Episode  235 | Return  -127.893 | Updates  200 | Remaining time  5.03 hours
Episode  236 | Return  -239.427 | Updates  200 | Remaining time  5.03 hours
Episode  237 | Return  -127.475 | Updates  200 | Remaining time  5.03 hours
