nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=1000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/2o15r61p
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211215_101232-2o15r61p
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode    0 | Return -1386.808 | Updates  137 | Remaining time  0.54 hours
Episode  296 | Return   -11.043 | Updates  200 | Remaining time  0.57 hours
Episode  297 | Return  -227.551 | Updates  200 | Remaining time  0.57 hours
Episode  298 | Return  -129.241 | Updates  200 | Remaining time  0.57 hours
Episode  299 | Return  -122.991 | Updates  200 | Remaining time  0.57 hours
Episode  300 | Return    -6.182 | Updates  200 | Remaining time  0.57 hours
Episode  301 | Return  -325.545 | Updates  200 | Remaining time  0.57 hours
Episode  302 | Return  -128.354 | Updates  200 | Remaining time  0.57 hours
Episode  303 | Return  -126.585 | Updates  200 | Remaining time  0.57 hours
Episode  304 | Return  -119.466 | Updates  200 | Remaining time  0.57 hours
Episode  305 | Return  -123.826 | Updates  200 | Remaining time  0.56 hours
Episode  306 | Return  -240.167 | Updates  200 | Remaining time  0.56 hours
Episode  307 | Return  -126.968 | Updates  200 | Remaining time  0.56 hours
Episode  308 | Return  -225.809 | Updates  200 | Remaining time  0.56 hours
Episode  309 | Return  -123.260 | Updates  200 | Remaining time  0.56 hours
Episode  310 | Return    -3.090 | Updates  200 | Remaining time  0.56 hours
Episode  311 | Return  -254.348 | Updates  200 | Remaining time  0.56 hours
Episode  312 | Return  -234.012 | Updates  200 | Remaining time  0.56 hours
Episode  313 | Return  -138.595 | Updates  200 | Remaining time  0.56 hours
Episode  314 | Return  -121.655 | Updates  200 | Remaining time  0.56 hours
Episode  315 | Return  -251.005 | Updates  200 | Remaining time  0.56 hours
Episode  316 | Return  -130.565 | Updates  200 | Remaining time  0.56 hours
Episode  317 | Return  -124.993 | Updates  200 | Remaining time  0.55 hours
Episode  318 | Return  -245.667 | Updates  200 | Remaining time  0.55 hours
Episode  319 | Return  -128.106 | Updates  200 | Remaining time  0.55 hours
Episode  320 | Return  -123.977 | Updates  200 | Remaining time  0.55 hours
Episode  321 | Return  -126.509 | Updates  200 | Remaining time  0.55 hours
Episode  322 | Return  -125.951 | Updates  200 | Remaining time  0.55 hours
Episode  323 | Return  -125.202 | Updates  200 | Remaining time  0.55 hours
Episode  324 | Return  -127.435 | Updates  200 | Remaining time  0.55 hours
Episode  325 | Return  -118.562 | Updates  200 | Remaining time  0.55 hours
Episode  326 | Return  -246.086 | Updates  200 | Remaining time  0.55 hours
