nohup: ignoring input
wandb: Currently logged in as: omarb (use `wandb login --relogin` to force relogin)
wandb: Tracking run with wandb version 0.12.7
wandb: Syncing run run_id=10000
wandb:  View project at https://wandb.ai/omarb/sa2c
wandb:  View run at https://wandb.ai/omarb/sa2c/runs/21reuuzh
wandb: Run data is saved locally in /home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/wandb/run-20211213_125348-21reuuzh
wandb: Run `wandb offline` to turn off syncing.

/home/omar/OneDrive/Documents/USU/Classes/fall_21/CS_6640/pytorch-sac-main/replay_buffer.py:25: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/torch/csrc/utils/tensor_new.cpp:201.)
  s  = torch.tensor(batch.s, dtype  = torch.float).view(batch_size, -1)
/home/omar/anaconda3/envs/decision-transformer-gym/lib/python3.8/site-packages/torch/autograd/__init__.py:154: UserWarning: CUDA initialization: The NVIDIA driver on your system is too old (found version 10010). Please update your GPU driver by downloading and installing a new version from the URL: http://www.nvidia.com/Download/index.aspx Alternatively, go to: https://pytorch.org to install a PyTorch version that has been compiled with your version of the CUDA driver. (Triggered internally at  /opt/conda/conda-bld/pytorch_1634272128894/work/c10/cuda/CUDAFunctions.cpp:112.)
  Variable._execution_engine.run_backward(
Episode  116 | Return  -403.133 | Updates  200 | Remaining time 43.00 hours
Episode  117 | Return    -2.169 | Updates  200 | Remaining time 43.03 hours
Episode  118 | Return  -124.357 | Updates  200 | Remaining time 43.02 hours
Episode  119 | Return    -3.781 | Updates  200 | Remaining time 43.04 hours
Episode  120 | Return  -125.743 | Updates  200 | Remaining time 43.07 hours
Episode  121 | Return  -361.926 | Updates  200 | Remaining time 43.09 hours
Episode  122 | Return  -226.519 | Updates  200 | Remaining time 43.10 hours
Episode  123 | Return  -124.783 | Updates  200 | Remaining time 43.09 hours
Episode  124 | Return  -120.910 | Updates  200 | Remaining time 43.08 hours
Episode  125 | Return  -120.659 | Updates  200 | Remaining time 43.07 hours
Episode  126 | Return  -126.070 | Updates  200 | Remaining time 43.06 hours
Episode  127 | Return    -2.581 | Updates  200 | Remaining time 43.06 hours
Episode  128 | Return  -118.907 | Updates  200 | Remaining time 43.04 hours
Episode  129 | Return  -290.447 | Updates  200 | Remaining time 43.04 hours
Episode  130 | Return  -226.991 | Updates  200 | Remaining time 43.06 hours
Episode  131 | Return  -247.953 | Updates  200 | Remaining time 43.10 hours
Episode  132 | Return  -125.729 | Updates  200 | Remaining time 43.13 hours
Episode  133 | Return  -129.781 | Updates  200 | Remaining time 43.13 hours
Episode  134 | Return  -134.417 | Updates  200 | Remaining time 43.15 hours
Episode  135 | Return  -119.560 | Updates  200 | Remaining time 43.19 hours
Episode  136 | Return  -131.954 | Updates  200 | Remaining time 43.21 hours
Episode  137 | Return    -7.077 | Updates  200 | Remaining time 43.25 hours
Episode  138 | Return  -123.907 | Updates  200 | Remaining time 43.27 hours
Episode  139 | Return  -128.297 | Updates  200 | Remaining time 43.30 hours
Episode  140 | Return  -239.850 | Updates  200 | Remaining time 43.33 hours
Episode  141 | Return  -300.461 | Updates  200 | Remaining time 43.36 hours
Episode  142 | Return  -117.761 | Updates  200 | Remaining time 43.36 hours
Episode  143 | Return  -125.743 | Updates  200 | Remaining time 43.39 hours
Episode  144 | Return    -2.071 | Updates  200 | Remaining time 43.39 hours
Episode  145 | Return  -253.480 | Updates  200 | Remaining time 43.41 hours
Episode  146 | Return  -244.582 | Updates  200 | Remaining time 43.44 hours
Episode  147 | Return  -246.061 | Updates  200 | Remaining time 43.45 hours
Episode  148 | Return  -117.024 | Updates  200 | Remaining time 43.44 hours
Episode  149 | Return  -121.923 | Updates  200 | Remaining time 43.44 hours
Episode  150 | Return    -1.428 | Updates  200 | Remaining time 43.46 hours
Episode  151 | Return  -366.679 | Updates  200 | Remaining time 43.47 hours
Episode  152 | Return  -128.232 | Updates  200 | Remaining time 43.46 hours
Episode  153 | Return  -128.760 | Updates  200 | Remaining time 43.47 hours
Episode  154 | Return    -6.009 | Updates  200 | Remaining time 43.46 hours
Episode  155 | Return  -122.619 | Updates  200 | Remaining time 43.49 hours
Episode  156 | Return  -122.307 | Updates  200 | Remaining time 43.49 hours
Episode  157 | Return  -128.690 | Updates  200 | Remaining time 43.50 hours
Episode  158 | Return  -119.198 | Updates  200 | Remaining time 43.51 hours
Episode  159 | Return  -120.891 | Updates  200 | Remaining time 43.56 hours
Episode  160 | Return  -120.439 | Updates  200 | Remaining time 43.60 hours
Episode  161 | Return  -302.667 | Updates  200 | Remaining time 43.60 hours
Episode  162 | Return  -226.240 | Updates  200 | Remaining time 43.63 hours
Episode  163 | Return  -120.710 | Updates  200 | Remaining time 43.65 hours
Episode  164 | Return  -125.481 | Updates  200 | Remaining time 43.66 hours
Episode  165 | Return  -128.469 | Updates  200 | Remaining time 43.66 hours
Episode  166 | Return  -125.880 | Updates  200 | Remaining time 43.66 hours
Episode  167 | Return  -256.403 | Updates  200 | Remaining time 43.66 hours
Episode  168 | Return  -130.917 | Updates  200 | Remaining time 43.66 hours
Episode  169 | Return  -252.426 | Updates  200 | Remaining time 43.66 hours
Episode  170 | Return    -7.629 | Updates  200 | Remaining time 43.66 hours
Episode  171 | Return  -123.305 | Updates  200 | Remaining time 43.67 hours
Episode  172 | Return  -252.175 | Updates  200 | Remaining time 43.68 hours
Episode  173 | Return  -130.001 | Updates  200 | Remaining time 43.68 hours
Episode  174 | Return  -135.998 | Updates  200 | Remaining time 43.68 hours
Episode  175 | Return  -132.709 | Updates  200 | Remaining time 43.68 hours
Episode  176 | Return  -131.393 | Updates  200 | Remaining time 43.70 hours
Episode  177 | Return    -9.257 | Updates  200 | Remaining time 43.77 hours
Episode  178 | Return   -11.598 | Updates  200 | Remaining time 43.84 hours
Episode  179 | Return  -132.531 | Updates  200 | Remaining time 43.89 hours
Episode  180 | Return  -124.489 | Updates  200 | Remaining time 43.94 hours
Episode  181 | Return  -237.734 | Updates  200 | Remaining time 43.96 hours
Episode  182 | Return  -252.613 | Updates  200 | Remaining time 43.97 hours
Episode  183 | Return  -246.282 | Updates  200 | Remaining time 43.96 hours
Episode  184 | Return  -133.326 | Updates  200 | Remaining time 43.97 hours
Episode  185 | Return  -130.848 | Updates  200 | Remaining time 43.96 hours
Episode  186 | Return   -13.326 | Updates  200 | Remaining time 43.96 hours
Episode  187 | Return  -255.103 | Updates  200 | Remaining time 43.96 hours
Episode  188 | Return   -12.725 | Updates  200 | Remaining time 43.97 hours
Episode  189 | Return  -134.097 | Updates  200 | Remaining time 44.00 hours
Episode  190 | Return  -251.029 | Updates  200 | Remaining time 44.01 hours
Episode  191 | Return  -135.164 | Updates  200 | Remaining time 44.05 hours
Episode  192 | Return  -328.437 | Updates  200 | Remaining time 44.07 hours
Episode  193 | Return  -253.904 | Updates  200 | Remaining time 44.07 hours
Episode  194 | Return  -233.439 | Updates  200 | Remaining time 44.07 hours
Episode  195 | Return   -12.323 | Updates  200 | Remaining time 44.10 hours
